CHART_EQUITY,,,,,,,
Fields,Field Name,Type,Field Description,Update Regular Hours,Update AM/PM Hours,,
0,key,String,Ticker symbol in upper case.,N/A,N/A,,
1,Open Price,double,Opening price for the minute,Yes,Yes,,
2,High Price,double,Highest price for the minute,Yes,Yes,,
3,Low Price,double,Chart’s lowest price for the minute,Yes,Yes,,
4,Close Price,double,Closing price for the minute,Yes,Yes,,
5,Volume,doulbe,Total volume for the minute,Yes,Yes,,
6,Sequence,long,Identifies the candle minute,Yes,Yes,,
7,Chart Time,long,Milliseconds since Epoch,Yes,Yes,,
8,Chart Day,int,Not useful,,,,
,,,,,,,
,,,,,,,
CHART_FUTURES ,,,,,,,
Request,Value,Description,,,,,
0,key,String,Ticker symbol in upper case.,N/A,N/A,,
1,Chart Time,long,Milliseconds since Epoch,Yes,Yes,,
2,Open Price,double,Opening price for the minute,Yes,Yes,,
3,High Price,double,Highest price for the minute,Yes,Yes,,
4,Low Price,double,Chart’s lowest price for the minute,Yes,Yes,,
5,Close Price,double,Closing price for the minute,Yes,Yes,,
6,Volume,doulbe,Total volume for the minute,Yes,Yes,,
,,,,,,,
,,,,,,,
,,,,,,,
CHART_HISTORY_FUTURES�,,,,,,,
Fields,Field Name,Type,Field Description,Update Regular Hours,Update AM/PM Hours,,
0,key,String,Ticker symbol in upper case.,N/A,N/A,,
1,Chart Time,long,Milliseconds since Epoch,Yes,Yes,,
2,Open Price,double,Opening price for the minute,Yes,Yes,,
3,High Price,double,Highest price for the minute,Yes,Yes,,
4,Low Price,double,Chart’s lowest price for the minute,Yes,Yes,,
5,Close Price,double,Closing price for the minute,Yes,Yes,,
6,Volume,doulbe,Total volume for the minute,Yes,Yes,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
QUOTE�,,,,,,,
Fields,Field Name,Type,Field Description,Update Regular Hours,Update AM/PM Hours,,
0,Symbol,String,Ticker symbol in upper case.,N/A,N/A,,
1,Bid Price,float,Current Best Bid Price,Yes,Yes,,
2,Ask Price,float,Current Best Ask Price,Yes,Yes,,
3,Last Price,float,Price at which the last trade was matched,Yes,Yes,,
4,Bid Size,float,Number of shares for bid,Yes,Yes,,
5,Ask Size,float,Number of shares for ask,Yes,Yes,,
6,Ask ID,char,Exchange with the best ask,Yes,Yes,,
7,Bid ID,char,Exchange with the best bid,Yes,Yes,,
8,Total Volume,long,"Aggregated shares traded throughout the day, including pre/post market hours.",Yes,Yes,,
